                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.98494,                0.50257,                 1.0929,                0.97526,                0.96078,                0.97962,                0.68843,                 1.1733,                 0.4767,                 1.2752,              0.0013466,              0.0013466,              0.0013466
                     36,                0.94447,                0.47743,                 1.0804,                0.97513,                0.97603,                0.98528,                0.70117,                 1.1635,                0.47031,                  1.251,              0.0013268,              0.0013268,              0.0013268
                     37,                0.94573,                0.47735,                 1.0859,                0.96922,                0.96039,                 0.9711,                0.66726,                 1.1977,                0.48023,                 1.2931,               0.001307,               0.001307,               0.001307
                     38,                0.97133,                0.48991,                 1.0908,                0.96121,                0.95861,                0.97672,                0.68118,                 1.1721,                0.48955,                 1.2654,              0.0012872,              0.0012872,              0.0012872
                     39,                0.96414,                 0.4896,                 1.0781,                0.97068,                0.97603,                0.97958,                0.68337,                 1.1727,                0.45818,                  1.271,              0.0012674,              0.0012674,              0.0012674
                     40,                0.93378,                0.47573,                 1.0556,                0.97586,                0.96886,                0.98725,                0.69092,                 1.1836,                 0.4693,                 1.2766,              0.0012476,              0.0012476,              0.0012476
                     41,                0.95215,                0.48087,                 1.0794,                0.97231,                0.97603,                0.98398,                0.69211,                 1.1614,                0.47227,                 1.2709,              0.0012278,              0.0012278,              0.0012278
                     42,                0.94159,                0.48308,                 1.0701,                0.98015,                0.96808,                0.98148,                0.68403,                 1.1801,                0.46666,                 1.2999,               0.001208,               0.001208,               0.001208
                     43,                0.92761,                0.47453,                  1.061,                0.96608,                0.97386,                0.98762,                0.69597,                 1.1635,                0.47261,                 1.2761,              0.0011882,              0.0011882,              0.0011882
                     44,                0.92183,                0.47089,                 1.0509,                0.96957,                0.97189,                0.98183,                0.70559,                 1.1444,                0.45596,                 1.2501,              0.0011684,              0.0011684,              0.0011684
                     45,                0.91686,                 0.4547,                  1.057,                0.96253,                0.97603,                0.98353,                 0.7096,                 1.1614,                0.44624,                 1.2652,              0.0011486,              0.0011486,              0.0011486
                     46,                0.92692,                0.46381,                 1.0663,                0.97172,                0.97319,                0.98158,                0.70044,                 1.1539,                0.44669,                 1.2761,              0.0011288,              0.0011288,              0.0011288
                     47,                0.89154,                0.45601,                 1.0388,                0.97636,                0.96732,                 0.9885,                0.69699,                 1.1451,                0.45635,                 1.2559,               0.001109,               0.001109,               0.001109
                     48,                0.90255,                0.46401,                 1.0528,                0.95709,                0.97182,                0.97953,                0.69011,                 1.1302,                 0.4702,                 1.2532,              0.0010892,              0.0010892,              0.0010892
                     49,                0.92011,                0.45923,                 1.0543,                0.96709,                0.98039,                0.98479,                0.70446,                 1.1348,                0.44268,                 1.2488,              0.0010694,              0.0010694,              0.0010694
                     50,                0.88959,                   0.44,                  1.043,                0.95735,                0.97168,                0.98128,                0.69745,                 1.1338,                0.44716,                  1.265,              0.0010496,              0.0010496,              0.0010496
                     51,                0.89267,                0.44627,                 1.0436,                0.98538,                0.96514,                0.98742,                0.69286,                 1.1602,                0.45989,                 1.2774,              0.0010298,              0.0010298,              0.0010298
                     52,                0.88798,                0.44594,                 1.0416,                0.98238,                0.97154,                0.98664,                0.69776,                 1.1471,                0.43137,                  1.263,                0.00101,                0.00101,                0.00101
                     53,                0.87167,                0.43112,                 1.0379,                0.98665,                0.96589,                0.99125,                0.70352,                 1.1667,                0.44263,                 1.2913,              0.0009902,              0.0009902,              0.0009902
                     54,                 0.8797,                0.43016,                 1.0392,                0.97826,                0.97603,                0.98721,                0.70864,                 1.1644,                 0.4441,                 1.2748,              0.0009704,              0.0009704,              0.0009704
                     55,                 0.8849,                0.44054,                 1.0448,                0.98461,                0.97537,                0.99148,                0.71587,                 1.1528,                0.44368,                 1.2676,              0.0009506,              0.0009506,              0.0009506
                     56,                0.87649,                 0.4356,                 1.0397,                0.97626,                0.98563,                0.99076,                0.69764,                 1.1532,                0.44436,                 1.2622,              0.0009308,              0.0009308,              0.0009308
                     57,                0.86182,                0.43231,                 1.0363,                0.98016,                0.96855,                 0.9826,                0.71558,                 1.1372,                 0.4464,                 1.2471,               0.000911,               0.000911,               0.000911
                     58,                0.85029,                0.42893,                 1.0207,                0.96777,                0.98139,                0.98801,                0.71088,                 1.1534,                0.45585,                 1.2637,              0.0008912,              0.0008912,              0.0008912
                     59,                0.83865,                0.41999,                 1.0186,                0.98668,                 0.9682,                0.98597,                0.70784,                 1.1431,                 0.4521,                 1.2731,              0.0008714,              0.0008714,              0.0008714
                     60,                 0.8559,                0.42118,                 1.0326,                0.97331,                0.97821,                 0.9851,                 0.7168,                 1.1322,                 0.4287,                 1.2682,              0.0008516,              0.0008516,              0.0008516
                     61,                0.84457,                0.42019,                 1.0264,                0.97051,                0.98257,                0.98327,                0.71058,                 1.1348,                 0.4299,                 1.2609,              0.0008318,              0.0008318,              0.0008318
                     62,                0.83892,                0.41638,                 1.0237,                0.97814,                0.97489,                0.99199,                0.71558,                 1.1328,                0.42835,                 1.2506,               0.000812,               0.000812,               0.000812
                     63,                0.83314,                0.40749,                 1.0158,                0.97721,                0.98039,                0.99138,                0.72267,                 1.1466,                0.43202,                 1.2592,              0.0007922,              0.0007922,              0.0007922
                     64,                0.83404,                0.41437,                   1.02,                0.98637,                0.98039,                0.99226,                0.72651,                 1.1316,                0.42162,                 1.2718,              0.0007724,              0.0007724,              0.0007724
                     65,                0.81734,                0.40892,                 1.0168,                0.97889,                 0.9695,                0.98605,                0.71762,                 1.1295,                0.42576,                 1.2457,              0.0007526,              0.0007526,              0.0007526
                     66,                0.81309,                0.40892,                 1.0136,                 0.9776,                0.97603,                 0.9873,                0.70872,                 1.1287,                0.42821,                 1.2719,              0.0007328,              0.0007328,              0.0007328
                     67,                0.82074,                0.41068,                 1.0164,                  0.974,                0.97168,                0.98065,                0.71399,                 1.1512,                0.43115,                 1.2856,               0.000713,               0.000713,               0.000713
                     68,                0.81452,                0.40066,                 1.0196,                0.96551,                0.97603,                0.98516,                0.71742,                 1.1192,                0.42174,                 1.2734,              0.0006932,              0.0006932,              0.0006932
                     69,                 0.7971,                  0.394,                 1.0094,                0.98012,                0.96652,                0.99029,                0.72369,                 1.1338,                0.42809,                 1.2743,              0.0006734,              0.0006734,              0.0006734
                     70,                   0.81,                0.40157,                 1.0099,                0.98626,                0.96514,                0.98966,                0.72303,                  1.116,                0.42055,                 1.2547,              0.0006536,              0.0006536,              0.0006536
                     71,                0.79326,                0.39402,                 1.0054,                0.97597,                0.97338,                0.98464,                0.71524,                 1.1316,                0.42087,                 1.2719,              0.0006338,              0.0006338,              0.0006338
                     72,                0.77714,                0.38756,                 0.9956,                 0.9737,                0.97603,                0.98697,                0.72578,                 1.1381,                0.42105,                 1.2584,               0.000614,               0.000614,               0.000614
                     73,                0.80089,                0.39103,                 1.0055,                0.98347,                0.96514,                 0.9883,                0.71972,                 1.1219,                0.41643,                 1.2543,              0.0005942,              0.0005942,              0.0005942
